Time,X,Y,Theta,X_Dest,Y_Dest,Lin_Vel,Ang_Vel
"12:30:15,306",NaN,NaN,NaN,NaN,NaN,0.0535343,-0.0834068
"12:30:15,314",3.01467,0.999095,0.054942,NaN,NaN,NaN,NaN
"12:30:15,333",3.01611,1.00011,0.0503409,NaN,NaN,NaN,NaN
"12:30:15,350",3.01822,1.0011,0.0443488,NaN,NaN,NaN,NaN
"12:30:15,366",3.02118,1.00107,0.0394554,NaN,NaN,NaN,NaN
"12:30:15,384",3.02456,1.00008,0.0392781,NaN,NaN,NaN,NaN
"12:30:15,403",3.02704,0.999123,0.0426567,NaN,NaN,NaN,NaN
"12:30:15,411",NaN,NaN,NaN,NaN,NaN,0.125141,-0.055704
"12:30:15,422",3.0283,0.999175,0.045079,NaN,NaN,NaN,NaN
"12:30:15,432",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:15,441",3.02924,1.00019,0.0456954,NaN,NaN,NaN,NaN
"12:30:15,458",3.03185,1.00114,0.0412461,NaN,NaN,NaN,NaN
"12:30:15,475",3.03605,1.00107,0.034321,NaN,NaN,NaN,NaN
"12:30:15,495",3.04261,1.00008,0.0329064,NaN,NaN,NaN,NaN
"12:30:15,506",NaN,NaN,NaN,NaN,NaN,0.191603,-0.0659046
"12:30:15,532",3.04919,1.00043,0.0348469,NaN,NaN,NaN,NaN
"12:30:15,550",3.05263,1.0003,0.0344321,NaN,NaN,NaN,NaN
"12:30:15,570",3.05763,1.00004,0.0322942,NaN,NaN,NaN,NaN
"12:30:15,602",3.06651,1.00042,0.0293318,NaN,NaN,NaN,NaN
"12:30:15,610",NaN,NaN,NaN,NaN,NaN,0.262915,-0.0472994
"12:30:15,632",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:15,706",NaN,NaN,NaN,NaN,NaN,0.331866,-0.0497905
"12:30:15,715",3.10414,1.00116,0.0243591,NaN,NaN,NaN,NaN
"12:30:15,806",NaN,NaN,NaN,NaN,NaN,0.401426,-0.0455022
"12:30:15,814",3.1441,1.00204,0.0199283,NaN,NaN,NaN,NaN
"12:30:15,832",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:15,906",NaN,NaN,NaN,NaN,NaN,0.474918,-0.0441293
"12:30:15,914",3.19162,1.00288,0.0153767,NaN,NaN,NaN,NaN
"12:30:16,007",NaN,NaN,NaN,NaN,NaN,0.546587,-0.0429464
"12:30:16,015",3.24677,1.00361,0.0111473,NaN,NaN,NaN,NaN
"12:30:16,032",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:16,107",NaN,NaN,NaN,NaN,NaN,0.62019,-0.0367294
"12:30:16,115",3.30898,1.00418,0.00719993,NaN,NaN,NaN,NaN
"12:30:16,208",NaN,NaN,NaN,NaN,NaN,0.690013,-0.0393152
"12:30:16,216",3.37898,1.00455,0.0032928,NaN,NaN,NaN,NaN
"12:30:16,233",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:16,308",NaN,NaN,NaN,NaN,NaN,0.767011,-0.0311236
"12:30:16,316",3.45567,1.00467,6.28318,NaN,NaN,NaN,NaN
"12:30:16,408",NaN,NaN,NaN,NaN,NaN,0.709776,-0.0317423
"12:30:16,416",3.527,1.00456,6.28012,NaN,NaN,NaN,NaN
"12:30:16,433",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:16,508",NaN,NaN,NaN,NaN,NaN,0.618081,-0.0295626
"12:30:16,515",3.58824,1.00428,6.27727,NaN,NaN,NaN,NaN
"12:30:16,608",NaN,NaN,NaN,NaN,NaN,0.551762,-0.020537
"12:30:16,616",3.64391,1.0039,6.27535,NaN,NaN,NaN,NaN
"12:30:16,633",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:16,708",NaN,NaN,NaN,NaN,NaN,0.485314,-0.0176383
"12:30:16,716",3.69223,1.00348,6.27363,NaN,NaN,NaN,NaN
"12:30:16,808",NaN,NaN,NaN,NaN,NaN,0.425826,-0.0109759
"12:30:16,816",3.73482,1.00304,6.27226,NaN,NaN,NaN,NaN
"12:30:16,833",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:16,908",NaN,NaN,NaN,NaN,NaN,0.374761,-0.00796424
"12:30:16,916",3.77212,1.00262,6.27138,NaN,NaN,NaN,NaN
"12:30:17,008",NaN,NaN,NaN,NaN,NaN,0.326623,-0.00812709
"12:30:17,016",3.80474,1.00222,6.27066,NaN,NaN,NaN,NaN
"12:30:17,033",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:17,109",NaN,NaN,NaN,NaN,NaN,0.284343,-0.00616071
"12:30:17,117",3.83341,1.00186,6.27022,NaN,NaN,NaN,NaN
"12:30:17,209",NaN,NaN,NaN,NaN,NaN,0.246781,0.000936435
"12:30:17,216",3.85779,1.00154,6.27006,NaN,NaN,NaN,NaN
"12:30:17,234",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:17,309",NaN,NaN,NaN,NaN,NaN,0.213909,-0.00206077
"12:30:17,317",3.87929,1.00125,6.26994,NaN,NaN,NaN,NaN
"12:30:17,409",NaN,NaN,NaN,NaN,NaN,0.184735,0.00222643
"12:30:17,418",3.89778,1.00101,6.2703,NaN,NaN,NaN,NaN
"12:30:17,434",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:17,509",NaN,NaN,NaN,NaN,NaN,0.15941,0.00204178
"12:30:17,516",3.91349,1.0008,6.27034,NaN,NaN,NaN,NaN
"12:30:17,609",NaN,NaN,NaN,NaN,NaN,0.137482,0.00232661
"12:30:17,617",3.92729,1.00063,6.2705,NaN,NaN,NaN,NaN
"12:30:17,634",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:17,680",3.93494,1.00053,6.2709,NaN,NaN,NaN,NaN
"12:30:17,700",3.94022,1.00296,6.27597,NaN,NaN,NaN,NaN
"12:30:17,709",NaN,NaN,NaN,NaN,NaN,0.115206,-0.00957219
"12:30:17,717",3.94171,1.00297,6.27101,NaN,NaN,NaN,NaN
"12:30:17,733",3.94417,1.00299,6.26988,NaN,NaN,NaN,NaN
"12:30:17,751",3.94735,1.003,6.27421,NaN,NaN,NaN,NaN
"12:30:17,767",3.94963,1.00301,6.27838,NaN,NaN,NaN,NaN
"12:30:17,785",3.95116,1.00299,6.27578,NaN,NaN,NaN,NaN
"12:30:17,805",3.95142,1.00296,6.26893,NaN,NaN,NaN,NaN
"12:30:17,813",NaN,NaN,NaN,NaN,NaN,0.0940361,-0.0107718
"12:30:17,823",3.95322,1.00296,6.27229,NaN,NaN,NaN,NaN
"12:30:17,834",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:17,842",3.95539,1.00299,6.27454,NaN,NaN,NaN,NaN
"12:30:17,859",3.95652,1.00301,6.2723,NaN,NaN,NaN,NaN
"12:30:17,877",3.95769,1.003,6.2679,NaN,NaN,NaN,NaN
"12:30:17,895",3.95862,1.00296,6.2649,NaN,NaN,NaN,NaN
"12:30:17,910",NaN,NaN,NaN,NaN,NaN,0.0812361,-0.00619478
"12:30:17,918",3.96065,1.00293,6.2672,NaN,NaN,NaN,NaN
"12:30:17,931",3.96131,1.00297,6.27098,NaN,NaN,NaN,NaN
"12:30:17,949",3.96333,1.00302,6.27544,NaN,NaN,NaN,NaN
"12:30:17,967",3.96526,1.00304,6.27614,NaN,NaN,NaN,NaN
"12:30:17,985",3.96709,1.00301,6.27042,NaN,NaN,NaN,NaN
"12:30:18,004",3.96806,1.00294,6.2647,NaN,NaN,NaN,NaN
"12:30:18,012",NaN,NaN,NaN,NaN,NaN,0.0674248,-0.00656138
"12:30:18,023",3.96908,1.00291,6.26399,NaN,NaN,NaN,NaN
"12:30:18,034",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:18,042",3.97011,1.00295,6.26926,NaN,NaN,NaN,NaN
"12:30:18,059",3.97096,1.00303,6.27578,NaN,NaN,NaN,NaN
"12:30:18,076",3.9719,1.00307,6.27666,NaN,NaN,NaN,NaN
"12:30:18,094",3.97298,1.00303,6.27071,NaN,NaN,NaN,NaN
"12:30:18,110",NaN,NaN,NaN,NaN,NaN,0.0569686,-0.00755897
"12:30:18,118",3.97436,1.00293,6.26331,NaN,NaN,NaN,NaN
"12:30:18,134",3.97478,1.00297,6.2693,NaN,NaN,NaN,NaN
"12:30:18,149",3.97531,1.00303,6.27616,NaN,NaN,NaN,NaN
"12:30:18,168",3.97752,1.00305,6.27465,NaN,NaN,NaN,NaN
"12:30:18,186",3.979,1.00301,6.26684,NaN,NaN,NaN,NaN
"12:30:18,204",3.97929,1.00294,6.25997,NaN,NaN,NaN,NaN
"12:30:18,212",NaN,NaN,NaN,NaN,NaN,0.0473672,-0.00785385
"12:30:18,221",3.97911,1.00291,6.26109,NaN,NaN,NaN,NaN
"12:30:18,234",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:18,242",3.97975,1.00296,6.26937,NaN,NaN,NaN,NaN
"12:30:18,260",3.98146,1.00298,6.26652,NaN,NaN,NaN,NaN
"12:30:18,278",3.98336,1.00301,6.2645,NaN,NaN,NaN,NaN
"12:30:18,295",3.98356,1.00302,6.26556,NaN,NaN,NaN,NaN
"12:30:18,310",NaN,NaN,NaN,NaN,NaN,0.0404792,-0.00551064
"12:30:18,317",3.98314,1.003,6.26761,NaN,NaN,NaN,NaN
"12:30:18,334",3.9843,1.00298,6.26699,NaN,NaN,NaN,NaN
"12:30:18,352",3.98576,1.00297,6.26547,NaN,NaN,NaN,NaN
"12:30:18,369",3.98603,1.00298,6.26519,NaN,NaN,NaN,NaN
"12:30:18,389",3.98598,1.003,6.26617,NaN,NaN,NaN,NaN
"12:30:18,405",3.98706,1.00298,6.26662,NaN,NaN,NaN,NaN
"12:30:18,413",NaN,NaN,NaN,NaN,NaN,0.0319109,-0.00686125
"12:30:18,423",3.98767,1.00297,6.2672,NaN,NaN,NaN,NaN
"12:30:18,434",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:18,442",3.98816,1.00298,6.26736,NaN,NaN,NaN,NaN
"12:30:18,460",3.98802,1.003,6.26673,NaN,NaN,NaN,NaN
"12:30:18,477",3.98832,1.00301,6.26542,NaN,NaN,NaN,NaN
"12:30:18,495",3.98883,1.003,6.26498,NaN,NaN,NaN,NaN
"12:30:18,510",NaN,NaN,NaN,NaN,NaN,0.0271333,-0.00664798
"12:30:18,518",3.99005,1.00298,6.26662,NaN,NaN,NaN,NaN
"12:30:18,532",3.98979,1.00299,6.26551,NaN,NaN,NaN,NaN
"12:30:18,549",3.99026,1.003,6.26371,NaN,NaN,NaN,NaN
"12:30:18,567",3.99089,1.003,6.26286,NaN,NaN,NaN,NaN
"12:30:18,585",3.99199,1.003,6.26273,NaN,NaN,NaN,NaN
"12:30:18,604",3.99248,1.00299,6.26546,NaN,NaN,NaN,NaN
"12:30:18,613",NaN,NaN,NaN,NaN,NaN,0.0217532,-0.0057992
"12:30:18,623",3.9919,1.00298,6.2669,NaN,NaN,NaN,NaN
"12:30:18,635",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:18,643",3.99182,1.00299,6.26529,NaN,NaN,NaN,NaN
"12:30:18,661",3.99271,1.00299,6.26406,NaN,NaN,NaN,NaN
"12:30:18,677",3.99318,1.00299,6.2629,NaN,NaN,NaN,NaN
"12:30:18,695",3.99381,1.003,6.26284,NaN,NaN,NaN,NaN
"12:30:18,710",NaN,NaN,NaN,NaN,NaN,0.0183888,-0.00601998
"12:30:18,718",3.99402,1.003,6.26381,NaN,NaN,NaN,NaN
"12:30:18,732",3.99452,1.00299,6.2649,NaN,NaN,NaN,NaN
"12:30:18,749",3.99485,1.00299,6.26533,NaN,NaN,NaN,NaN
"12:30:18,767",3.99464,1.00299,6.26532,NaN,NaN,NaN,NaN
"12:30:18,785",3.99409,1.003,6.26438,NaN,NaN,NaN,NaN
"12:30:18,805",3.99474,1.003,6.26247,NaN,NaN,NaN,NaN
"12:30:18,813",NaN,NaN,NaN,NaN,NaN,0.0152606,-0.00543061
"12:30:18,823",3.99534,1.00299,6.26263,NaN,NaN,NaN,NaN
"12:30:18,835",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:18,842",3.99562,1.00299,6.26293,NaN,NaN,NaN,NaN
"12:30:18,860",3.99644,1.00299,6.26237,NaN,NaN,NaN,NaN
"12:30:18,877",3.99696,1.003,6.26295,NaN,NaN,NaN,NaN
"12:30:18,896",3.99663,1.00301,6.26459,NaN,NaN,NaN,NaN
"12:30:18,911",NaN,NaN,NaN,NaN,NaN,0.00671664,-0.00132914
"12:30:18,919",3.99582,1.003,6.26614,NaN,NaN,NaN,NaN
"12:30:18,933",3.99619,1.003,6.26392,NaN,NaN,NaN,NaN
"12:30:18,949",3.99649,1.00299,6.2618,NaN,NaN,NaN,NaN
"12:30:18,967",3.99638,1.00299,6.26098,NaN,NaN,NaN,NaN
"12:30:18,986",3.99597,1.003,6.26276,NaN,NaN,NaN,NaN
"12:30:19,005",3.9957,1.003,6.26532,NaN,NaN,NaN,NaN
"12:30:19,013",NaN,NaN,NaN,NaN,NaN,0.00543555,-0.000453638
"12:30:19,023",3.99582,1.003,6.26524,NaN,NaN,NaN,NaN
"12:30:19,035",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:19,043",3.99723,1.003,6.26311,NaN,NaN,NaN,NaN
"12:30:19,060",3.99721,1.003,6.26356,NaN,NaN,NaN,NaN
"12:30:19,077",3.99705,1.003,6.26206,NaN,NaN,NaN,NaN
"12:30:19,095",3.99694,1.003,6.26182,NaN,NaN,NaN,NaN
"12:30:19,110",NaN,NaN,NaN,NaN,NaN,0.00474189,-0.00172887
"12:30:19,119",3.997,1.003,6.26266,NaN,NaN,NaN,NaN
"12:30:19,134",3.99713,1.003,6.26411,NaN,NaN,NaN,NaN
"12:30:19,151",3.99723,1.003,6.26582,NaN,NaN,NaN,NaN
"12:30:19,168",3.99714,1.003,6.26586,NaN,NaN,NaN,NaN
"12:30:19,187",3.99701,1.003,6.26269,NaN,NaN,NaN,NaN
"12:30:19,205",3.99692,1.003,6.25961,NaN,NaN,NaN,NaN
"12:30:19,213",NaN,NaN,NaN,NaN,NaN,0.00370493,-0.00116346
"12:30:19,223",3.99697,1.003,6.26089,NaN,NaN,NaN,NaN
"12:30:19,235",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:19,243",3.99711,1.003,6.26492,NaN,NaN,NaN,NaN
"12:30:19,260",3.99811,1.003,6.26265,NaN,NaN,NaN,NaN
"12:30:19,277",3.99906,1.003,6.26043,NaN,NaN,NaN,NaN
"12:30:19,296",3.99901,1.003,6.26087,NaN,NaN,NaN,NaN
"12:30:19,311",NaN,NaN,NaN,NaN,NaN,0.00329065,-0.000137461
"12:30:19,319",3.99802,1.003,6.26393,NaN,NaN,NaN,NaN
"12:30:19,332",3.99809,1.003,6.26411,NaN,NaN,NaN,NaN
"12:30:19,350",3.99815,1.003,6.26261,NaN,NaN,NaN,NaN
"12:30:19,368",3.99809,1.003,6.26038,NaN,NaN,NaN,NaN
"12:30:19,387",3.99799,1.003,6.25993,NaN,NaN,NaN,NaN
"12:30:19,406",3.99795,1.003,6.26276,NaN,NaN,NaN,NaN
"12:30:19,414",NaN,NaN,NaN,NaN,NaN,0.00250506,-0.00092012
"12:30:19,424",3.99799,1.003,6.26628,NaN,NaN,NaN,NaN
"12:30:19,435",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:19,443",3.99809,1.003,6.2673,NaN,NaN,NaN,NaN
"12:30:19,460",3.99813,1.003,6.26325,NaN,NaN,NaN,NaN
"12:30:19,476",3.99808,1.003,6.25768,NaN,NaN,NaN,NaN
"12:30:19,496",3.99798,1.003,6.25651,NaN,NaN,NaN,NaN
"12:30:19,512",NaN,NaN,NaN,NaN,NaN,0.00232396,-0.00220652
"12:30:19,520",3.99796,1.003,6.26051,NaN,NaN,NaN,NaN
"12:30:19,533",3.99807,1.003,6.26322,NaN,NaN,NaN,NaN
"12:30:19,551",3.99814,1.003,6.26585,NaN,NaN,NaN,NaN
"12:30:19,569",3.99811,1.003,6.26532,NaN,NaN,NaN,NaN
"12:30:19,587",3.999,1.003,6.26178,NaN,NaN,NaN,NaN
"12:30:19,605",3.99992,1.003,6.25838,NaN,NaN,NaN,NaN
"12:30:19,613",NaN,NaN,NaN,NaN,NaN,0.00219163,-8.33354
"12:30:19,625",3.99997,1.003,6.25885,NaN,NaN,NaN,NaN
"12:30:19,635",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:19,643",3.99906,1.003,6.26326,NaN,NaN,NaN,NaN
"12:30:19,660",3.99812,1.003,6.26703,NaN,NaN,NaN,NaN
"12:30:19,677",3.99809,1.003,6.26724,NaN,NaN,NaN,NaN
"12:30:19,695",3.999,1.003,6.26355,NaN,NaN,NaN,NaN
"12:30:19,712",NaN,NaN,NaN,NaN,NaN,0.00167079,-0.000302535
"12:30:19,720",3.99995,1.003,6.26005,NaN,NaN,NaN,NaN
"12:30:19,732",3.99904,1.003,6.26252,NaN,NaN,NaN,NaN
"12:30:19,750",3.99813,1.003,6.265,NaN,NaN,NaN,NaN
"12:30:19,768",3.99812,1.003,6.26461,NaN,NaN,NaN,NaN
"12:30:19,787",3.99902,1.003,6.26146,NaN,NaN,NaN,NaN
"12:30:19,805",3.99991,1.003,6.25942,NaN,NaN,NaN,NaN
"12:30:19,813",NaN,NaN,NaN,NaN,NaN,0.00134931,-0.000983904
"12:30:19,823",3.99992,1.003,6.25996,NaN,NaN,NaN,NaN
"12:30:19,835",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:19,843",3.99903,1.003,6.26295,NaN,NaN,NaN,NaN
"12:30:19,860",3.99903,1.003,6.26295,NaN,NaN,NaN,NaN
"12:30:19,878",3.99902,1.003,6.26231,NaN,NaN,NaN,NaN
"12:30:19,896",3.99899,1.003,6.26245,NaN,NaN,NaN,NaN
"12:30:24,409",NaN,NaN,NaN,NaN,NaN,0.00115562,0.898297
"12:30:24,420",3.99997,1.00399,0.325667,NaN,NaN,NaN,NaN
"12:30:24,437",3.99998,1.00399,0.341376,NaN,NaN,NaN,NaN
"12:30:24,445",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:24,455",NaN,1.004,0.357891,NaN,NaN,NaN,NaN
"12:30:24,474",4.00001,1.004,0.375332,NaN,NaN,NaN,NaN
"12:30:24,490",3.99999,1.004,0.390477,NaN,NaN,NaN,NaN
"12:30:24,508",3.99998,1.00399,0.407314,NaN,NaN,NaN,NaN
"12:30:24,609",NaN,NaN,NaN,NaN,NaN,0.00116067,0.933902
"12:30:24,617",3.99999,1.004,0.509221,NaN,NaN,NaN,NaN
"12:30:24,639",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:24,647",4.00001,1.004,0.537417,NaN,NaN,NaN,NaN
"12:30:24,661",3.99993,1.00396,0.550669,NaN,NaN,NaN,NaN
"12:30:24,678",3.99992,1.00395,0.56658,NaN,NaN,NaN,NaN
"12:30:24,692",NaN,1.004,0.579993,NaN,NaN,NaN,NaN
"12:30:25,411",NaN,NaN,NaN,NaN,NaN,0.00127981,0.781939
"12:30:25,419",3.99901,1.00203,1.26366,NaN,NaN,NaN,NaN
"12:30:25,438",3.99796,1.00288,1.27659,NaN,NaN,NaN,NaN
"12:30:25,447",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:25,456",3.99695,1.00385,1.28859,NaN,NaN,NaN,NaN
"12:30:25,473",3.99699,1.00396,1.29935,NaN,NaN,NaN,NaN
"12:30:25,490",3.99804,1.00312,1.3099,NaN,NaN,NaN,NaN
"12:30:25,509",3.99905,1.00217,1.32126,NaN,NaN,NaN,NaN
"12:30:26,618",NaN,NaN,NaN,NaN,NaN,0.00306387,0.0196976
"12:30:26,628",3.999,1.00399,1.56194,NaN,NaN,NaN,NaN
"12:30:26,641",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:26,649",3.999,1.00402,1.56218,NaN,NaN,NaN,NaN
"12:30:26,664",3.999,1.00411,1.56226,NaN,NaN,NaN,NaN
"12:30:26,682",3.999,1.00416,1.56238,NaN,NaN,NaN,NaN
"12:30:26,700",3.999,1.00412,1.56258,NaN,NaN,NaN,NaN
"12:30:26,713",NaN,NaN,NaN,NaN,NaN,0.00332551,0.0113635
"12:30:26,721",3.999,1.00403,1.56287,NaN,NaN,NaN,NaN
"12:30:26,738",3.999,1.00411,1.56307,NaN,NaN,NaN,NaN
"12:30:26,755",3.999,1.00415,1.56335,NaN,NaN,NaN,NaN
"12:30:26,773",3.999,1.00409,1.56355,NaN,NaN,NaN,NaN
"12:30:26,790",3.999,1.00498,1.56371,NaN,NaN,NaN,NaN
"12:30:26,809",3.999,1.00595,1.56391,NaN,NaN,NaN,NaN
"12:30:26,818",NaN,NaN,NaN,NaN,NaN,0.00261036,0.0102508
"12:30:26,827",3.999,1.00599,1.56404,NaN,NaN,NaN,NaN
"12:30:26,842",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:26,850",3.999,1.00509,1.56424,NaN,NaN,NaN,NaN
"12:30:26,863",3.999,1.00507,1.56436,NaN,NaN,NaN,NaN
"12:30:26,881",3.999,1.00503,1.56452,NaN,NaN,NaN,NaN
"12:30:26,900",3.999,1.005,1.56468,NaN,NaN,NaN,NaN
"12:30:26,914",NaN,NaN,NaN,NaN,NaN,0.00242503,0.00952298
"12:30:26,922",3.999,1.00503,1.56492,NaN,NaN,NaN,NaN
"12:30:26,941",3.999,1.00509,1.56508,NaN,NaN,NaN,NaN
"12:30:26,955",3.999,1.00508,1.5652,NaN,NaN,NaN,NaN
"12:30:26,972",3.999,1.00504,1.56536,NaN,NaN,NaN,NaN
"12:30:26,990",3.999,1.00499,1.56549,NaN,NaN,NaN,NaN
"12:30:27,011",3.999,1.00498,1.56561,NaN,NaN,NaN,NaN
"12:30:27,019",NaN,NaN,NaN,NaN,NaN,0.00200549,0.00787549
"12:30:27,027",3.999,1.00506,1.56573,NaN,NaN,NaN,NaN
"12:30:27,041",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:27,049",3.999,1.00511,1.56585,NaN,NaN,NaN,NaN
"12:30:27,058",NaN,NaN,NaN,NaN,NaN,0.00169724,0.00666499
"12:30:27,066",3.999,1.00507,1.56242,NaN,NaN,NaN,NaN
"12:30:27,082",3.999,1.00528,1.55906,NaN,NaN,NaN,NaN
"12:30:27,100",3.99901,1.00579,1.55797,NaN,NaN,NaN,NaN
"12:30:27,118",3.99902,1.00629,1.56034,NaN,NaN,NaN,NaN
"12:30:27,136",3.99901,1.00651,1.56484,NaN,NaN,NaN,NaN
"12:30:27,154",3.999,1.00646,1.56893,NaN,NaN,NaN,NaN
"12:30:27,166",NaN,NaN,NaN,NaN,NaN,0.0582181,0.0243393
"12:30:27,174",3.99899,1.00768,1.56938,NaN,NaN,NaN,NaN
"12:30:27,191",3.99901,1.0104,1.56567,NaN,NaN,NaN,NaN
"12:30:27,208",3.99904,1.01277,1.5624,NaN,NaN,NaN,NaN
"12:30:27,227",3.99904,1.0149,1.5638,NaN,NaN,NaN,NaN
"12:30:27,242",NaN,NaN,NaN,4.0,2.0,NaN,NaN
"12:30:27,251",3.99902,1.01734,1.568,NaN,NaN,NaN,NaN
"12:30:27,265",3.99902,1.01859,1.56751,NaN,NaN,NaN,NaN
"12:30:27,273",NaN,NaN,NaN,NaN,NaN,0.131309,0.0186471
"12:30:27,281",3.99901,1.02036,1.56847,NaN,NaN,NaN,NaN
"12:30:27,300",3.999,1.02426,1.56798,NaN,NaN,NaN,NaN
"12:30:27,317",3.999,1.0279,1.5682,NaN,NaN,NaN,NaN
"12:30:27,335",3.99901,1.03128,1.56867,NaN,NaN,NaN,NaN
"12:30:27,354",3.99901,1.03437,1.56923,NaN,NaN,NaN,NaN
"12:30:27,366",NaN,NaN,NaN,NaN,NaN,0.194177,0.0129941
"12:30:27,374",3.99901,1.03748,1.56887,NaN,NaN,NaN,NaN
"12:30:27,392",3.99902,1.04238,1.56782,NaN,NaN,NaN,NaN
"12:30:27,408",3.99903,1.04682,1.5655,NaN,NaN,NaN,NaN
"12:30:27,426",3.99904,1.05166,1.5649,NaN,NaN,NaN,NaN
"12:30:27,441",NaN,NaN,NaN,4.0,2.0,NaN,NaN
"12:30:27,449",3.99903,1.05721,1.56771,NaN,NaN,NaN,NaN
"12:30:27,463",3.99902,1.05992,1.57067,NaN,NaN,NaN,NaN
"12:30:27,471",NaN,NaN,NaN,NaN,NaN,0.266646,0.0118068
"12:30:27,482",3.99898,1.06549,1.57292,NaN,NaN,NaN,NaN
"12:30:27,566",NaN,NaN,NaN,NaN,NaN,0.334588,0.00381321
"12:30:27,590",3.99893,1.10337,1.57204,NaN,NaN,NaN,NaN
"12:30:27,643",NaN,NaN,NaN,4.0,2.0,NaN,NaN
"12:30:27,667",NaN,NaN,NaN,NaN,NaN,0.403658,0.00174027
"12:30:27,690",3.99888,1.14493,1.57224,NaN,NaN,NaN,NaN
"12:30:27,766",NaN,NaN,NaN,NaN,NaN,0.476144,0.00132738
"12:30:27,790",3.99881,1.19385,1.57224,NaN,NaN,NaN,NaN
"12:30:27,842",NaN,NaN,NaN,4.0,2.0,NaN,NaN
"12:30:27,866",NaN,NaN,NaN,NaN,NaN,0.547452,0.00108852
"12:30:27,890",3.99873,1.24994,1.57208,NaN,NaN,NaN,NaN
"12:30:27,967",NaN,NaN,NaN,NaN,NaN,0.61996,-0.00148467
"12:30:27,991",3.99865,1.31389,1.57196,NaN,NaN,NaN,NaN
"12:30:28,042",NaN,NaN,NaN,4.0,2.0,NaN,NaN
"12:30:28,067",NaN,NaN,NaN,NaN,NaN,0.693488,-0.00427976
"12:30:28,090",3.99859,1.38381,1.57159,NaN,NaN,NaN,NaN
"12:30:28,167",NaN,NaN,NaN,NaN,NaN,0.76647,-0.003081
"12:30:28,191",3.99855,1.4619,1.57107,NaN,NaN,NaN,NaN
"12:30:28,243",NaN,NaN,NaN,4.0,2.0,NaN,NaN
"12:30:28,267",NaN,NaN,NaN,NaN,NaN,0.719274,-0.00800198
"12:30:28,291",3.99856,1.5325,1.57014,NaN,NaN,NaN,NaN
"12:30:28,368",NaN,NaN,NaN,NaN,NaN,0.625528,-0.00941889
"12:30:28,391",3.99861,1.59365,1.56958,NaN,NaN,NaN,NaN
"12:30:28,442",NaN,NaN,NaN,4.0,2.0,NaN,NaN
"12:30:28,467",NaN,NaN,NaN,NaN,NaN,0.558736,-0.00505697
"12:30:28,491",3.9987,1.64824,1.56893,NaN,NaN,NaN,NaN
"12:30:28,567",NaN,NaN,NaN,NaN,NaN,0.488353,-0.00293359
"12:30:28,591",3.9988,1.69609,1.56857,NaN,NaN,NaN,NaN
"12:30:28,642",NaN,NaN,NaN,4.0,2.0,NaN,NaN
"12:30:28,668",NaN,NaN,NaN,NaN,NaN,0.430529,-0.00219705
"12:30:28,691",3.99891,1.73828,1.56797,NaN,NaN,NaN,NaN
"12:30:28,768",NaN,NaN,NaN,NaN,NaN,0.377622,-0.00212478
"12:30:28,791",3.99903,1.77518,1.5676,NaN,NaN,NaN,NaN
"12:30:28,842",NaN,NaN,NaN,4.0,2.0,NaN,NaN
"12:30:28,868",NaN,NaN,NaN,NaN,NaN,0.330485,-0.00138233
"12:30:28,892",3.99914,1.80775,1.5672,NaN,NaN,NaN,NaN
"12:30:28,968",NaN,NaN,NaN,NaN,NaN,0.286566,-0.00564489
"12:30:28,992",3.99925,1.83574,1.56684,NaN,NaN,NaN,NaN
"12:30:29,042",NaN,NaN,NaN,4.0,2.0,NaN,NaN
"12:30:29,068",NaN,NaN,NaN,NaN,NaN,0.249933,-0.000434542
